text,intent
What should I do?,ask_advice
Can you give me some advice?,ask_advice
What do you suggest?,ask_advice
Any recommendations?,ask_advice
I need some advice.,ask_advice
What's your advice?,ask_advice
Could you advise me on something?,ask_advice
Do you have any advice for me?,ask_advice
I'm seeking advice.,ask_advice
What would you advise?,ask_advice
Can you provide guidance?,ask_advice
I'm looking for some guidance.,ask_advice
Could you offer some counsel?,ask_advice
What's the best course of action?,ask_advice
I need some direction.,ask_advice
What would you recommend?,ask_advice
I'm open to suggestions.,ask_advice
What's your opinion?,ask_advice
What should I do next?,ask_advice
What's the best way to proceed?,ask_advice
Could you offer some advice on this matter?,ask_advice
What do you think I should do?,ask_advice
I could use some advice right now.,ask_advice
Can you offer me some tips?,ask_advice
I'm in need of some guidance.,ask_advice
What's your advice on this?,ask_advice
Do you have any suggestions for me?,ask_advice
What would you do in my situation?,ask_advice
Can you give me some pointers?,ask_advice
What would be your recommendation?,ask_advice
What steps should I take?,ask_advice
What's the best way to handle this?,ask_advice
Can you provide any insight?,ask_advice
What's your take on this?,ask_advice
I need some help figuring this out.,ask_advice
What's your perspective?,ask_advice
Do you have any words of wisdom?,ask_advice
What's your advice on handling this?,ask_advice
Could you give me some guidance on this?,ask_advice
What do you advise in this situation?,ask_advice
How should I approach this?,ask_advice
I could use your advice.,ask_advice
What do you think is the best solution?,ask_advice
What would be the best course of action?,ask_advice
Can you provide some assistance?,ask_advice
I need some input.,ask_advice
Do you have any ideas?,ask_advice
What's your suggestion?,ask_advice
What's your recommendation for me?,ask_advice
Can you offer some advice on this issue?,ask_advice
What would you recommend I do?,ask_advice
Can you offer any advice?,ask_advice
I'm looking for some advice.,ask_advice
What would be the best decision?,ask_advice
What's your opinion on this matter?,ask_advice
I need your advice.,ask_advice
What should my next move be?,ask_advice
I'm seeking your counsel.,ask_advice
Can you provide any suggestions?,ask_advice
I'm not sure what to do.,ask_advice
What's your take?,ask_advice
What would you do?,ask_advice
Can you give me some recommendations?,ask_advice
What's your view?,ask_advice
What do you think?,ask_advice
I need some advice from you.,ask_advice
What should I consider?,ask_advice
What's your perspective on this?,ask_advice
Do you have any thoughts?,ask_advice
What's your opinion on how to proceed?,ask_advice
I'm looking for your advice.,ask_advice
Can you provide some guidance on this?,ask_advice
What should I take into account?,ask_advice
Do you have any advice to offer?,ask_advice
I'm in need of some suggestions.,ask_advice
What's your recommendation?,ask_advice
What's your advice on this matter?,ask_advice
I need some recommendations.,ask_advice
What's the best approach?,ask_advice
I need your opinion.,ask_advice
What would you suggest I do next?,ask_advice
Can you offer any guidance?,ask_advice
I'm looking for your input.,ask_advice
What do you recommend?,ask_advice
